1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
74685,-0.2507592,0.0204223,-3.2581053,-0.2807278,1.581308,-1.919269,-1.4529757,-1.0900018,0.4216926,-0.4078049,1.0557817,-1.750397,2.2812986,-1.9259725,4.9108853,-3.7586892,-0.0931891,-1.1448212,0.8795303,-0.3555308,0.4876254,-1.6222116,0.4120566,-0.8556271,0.4845641,-0.3931236,0.2864271,-1.5707045,-0.7149314,-0.1020687,-0.7986614,-0.7705684,-0.328151,-0.5901836,-0.4848413,-0.7595814,-2.2926154,0.8468766,2.1372955,1.2827747,-1.1306732,-0.2077973,-1.4409266,-0.8658332,-2.5028915,0.9245657,-0.8808901,-0.1495478,L12
74686,-0.283746,0.021278,-3.300581,-0.2696851,1.5350021,-1.9021701,-1.4724785,-1.0891328,0.4061923,-0.4113959,1.0357857,-1.7537441,2.32671,-1.9909073,4.9108853,-3.7586892,-0.0909509,-1.160246,0.8681375,-0.3577652,0.4999059,-1.6397717,0.4468566,-0.9053885,0.4733576,-0.3932216,0.3170417,-1.614481,-0.6583949,-0.1829115,-0.563703,-1.0449691,-0.3519773,-0.5921599,-0.3030689,-0.8011195,-2.3442328,0.8659366,2.4317598,0.9644149,-0.7667297,-0.2671256,-1.3714092,-0.8819177,-2.5314345,0.9351054,-0.8808901,-0.1495478,
74687,-0.2984588,0.0192032,-3.3197048,-0.2671369,1.49457,-1.8688766,-1.4767803,-1.0937976,0.3984559,-0.4131964,1.0106257,-1.7337228,2.3493516,-2.023283,4.7893267,-3.6636889,-0.0772003,-1.1799083,0.8638977,-0.3596585,0.5060365,-1.648538,0.4789357,-0.9356521,0.4675507,-0.3929611,0.3170417,-1.614481,-0.6208537,-0.2365925,-0.4936792,-1.1450977,-0.3651479,-0.5920525,-0.2324471,-0.8142537,-2.3648551,0.8735515,2.4969049,0.8712626,-0.6138078,-0.2857026,-1.3397299,-0.8938103,-2.5440943,0.9397802,-0.8903463,-0.1581739,
74688,-0.3278627,0.0150661,-3.3678484,-0.2540241,1.4080045,-1.8185275,-1.4984022,-1.0952556,0.3820965,-0.4161979,0.9603009,-1.6936442,2.3596096,-2.0749581,4.6942606,-3.5277517,-0.0865056,-1.1910365,0.8529945,-0.3625639,0.5126714,-1.670482,0.5135818,-0.9851932,0.4558404,-0.3933154,0.3475728,-1.658138,-0.5834345,-0.2900991,-0.2966965,-1.365051,-0.3881919,-0.5936539,-0.0903759,-0.8408054,-2.4060442,0.8887609,2.6588874,0.7427335,-0.3039303,-0.3240077,-1.2889494,-0.9078708,-2.5694141,0.9491296,-0.8903463,-0.1581739,
74689,-0.3371399,0.011026,-3.396868,-0.2434595,1.3502265,-1.7603289,-1.5056028,-1.0957463,0.3737578,-0.417776,0.9351362,-1.673587,2.3472736,-2.0942819,4.5723433,-3.4320061,-0.102666,-1.1923479,0.8483199,-0.3638065,0.5070651,-1.6749076,0.5455838,-1.0153466,0.4495279,-0.3933377,0.3628063,-1.6799208,-0.564773,-0.3167835,-0.262256,-1.4142984,-0.3999975,-0.5940151,-0.040004,-0.8462966,-2.4266114,0.8963555,2.8209076,0.6145719,-0.2118203,-0.3193923,-1.2778124,-0.907042,-2.5852284,0.9549692,-0.8903463,-0.1581739,
74690,-0.3610663,0.004922,-3.4448471,-0.2304065,1.2114418,-1.6350344,-1.5271902,-1.0972099,0.3571434,-0.4203837,0.8392828,-1.5842452,2.2756398,-2.1391811,4.3051858,-3.128346,-0.1349514,-1.1949633,0.8361445,-0.3662285,0.4607241,-1.6707668,0.5800757,-1.0646675,0.4378176,-0.3936919,0.3076867,-1.6918281,-0.5089555,-0.3965982,-0.1012075,-1.5827233,-0.4229744,-0.5956267,0.0188748,-0.8415214,-2.4677041,0.9115292,2.9487069,0.4318288,-0.0539491,-0.3393407,-1.25076,-0.9121878,-2.6136754,0.9654734,-0.9109449,-0.1507863,
74691,-0.3757092,0.0028489,-3.4679997,-0.2219778,1.1129268,-1.5428306,-1.5314566,-1.1018673,0.3485624,-0.4215865,0.7936736,-1.5349251,2.1719682,-2.1008997,4.1580896,-2.9180098,-0.1625267,-1.192046,0.830713,-0.3676954,0.420078,-1.6622399,0.5886843,-1.076977,0.4319143,-0.3943066,0.2650355,-1.6760788,-0.4718894,-0.4496,-0.0087044,-1.6529886,-0.4354951,-0.596373,0.0695795,-0.8470963,-2.4882162,0.9191034,3.11005,0.305027,0.0396066,-0.3350213,-1.2395953,-0.9113693,-2.6262937,0.9701328,-0.9315165,-0.1434083,
74692,-0.3976523,-0.000255,-3.5042722,-0.2131867,0.9027447,-1.3151095,-1.5508695,-1.1010107,0.3307289,-0.4237576,0.6667309,-1.4010119,1.9081421,-2.0508153,3.7338469,-2.3895123,-0.251841,-1.1735827,0.8165361,-0.3698686,0.3157837,-1.6366858,0.6058821,-1.1015686,0.4191946,-0.3951998,0.146636,-1.664531,-0.4615406,-0.4926067,0.0252419,-1.7015291,-0.4584315,-0.5979853,0.184208,-0.876655,-2.5291986,0.9342365,3.1730895,0.2148855,0.2660754,-0.3804682,-1.2045091,-0.9195243,-2.65784,0.9817815,-0.9520882,-0.1360304,
74693,-0.41034,0.0006688,-3.5231969,-0.2107042,0.7677485,-1.170508,-1.563089,-1.0996674,0.3223919,-0.4253091,0.5955988,-1.3309916,1.7046044,-1.9756575,3.5068831,-2.1428618,-0.3020614,-1.1622831,0.8086006,-0.3703973,0.2406451,-1.6154088,0.6205965,-1.1070019,0.4132789,-0.3957965,0.0409388,-1.6255015,-0.4615406,-0.4926067,0.0838394,-1.7231667,-0.4708992,-0.5987504,0.2353685,-0.8823738,-2.5496693,0.9417954,3.2357886,0.1252305,0.3614696,-0.3765854,-1.1885662,-0.9255094,-2.6735995,0.9876007,-0.963244,-0.1200118,
74694,-0.4464485,0.0064238,-3.5520246,-0.2002094,0.5186645,-0.8868264,-1.5853744,-1.0946598,0.3053707,-0.4285836,0.4366699,-1.1511954,1.3246931,-1.858972,2.8875775,-1.4124148,-0.4247723,-1.1314604,0.7937087,-0.3727967,0.0911554,-1.5731387,0.6120008,-1.0947108,0.3996586,-0.3963715,-0.153977,-1.5695827,-0.4349452,-0.5024273,0.1086275,-1.6963143,-0.4944978,-0.6007665,0.3381259,-0.8939269,-2.6007631,0.9606622,3.1730895,0.2148855,0.6215646,-0.3944611,-1.1581409,-0.926898,-2.7050905,0.9992291,-0.9837887,-0.1126435,
